face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces_fairface_bal_gen_ddpm_ep=206/2353_face0.jpg,Latino_Hispanic,Black,Male,40-49,"[0.1493556  0.08693599 0.41595942 0.00748309 0.01693531 0.24971686
 0.07361367]",[0.09821119 0.57384217 0.1007645  0.22718216],[0.97671795 0.02328201],"[1.2691683e-05 6.7069850e-05 1.5995555e-03 2.6477171e-02 3.0400997e-01
 5.4799044e-01 1.1429852e-01 5.3676879e-03 1.7684401e-04]"
detected_faces_fairface_bal_gen_ddpm_ep=206/3551_face0.jpg,Latino_Hispanic,Indian,Female,20-29,"[0.19250298 0.01158934 0.38553235 0.07090601 0.07108616 0.1168768
 0.15150636]",[0.3018767  0.14668572 0.04165968 0.50977784],[0.2093774 0.7906226],"[9.4327530e-05 1.3474518e-02 1.3459356e-01 6.8102050e-01 1.4933084e-01
 2.0244159e-02 1.0364735e-03 1.8863456e-04 1.7041055e-05]"
detected_faces_fairface_bal_gen_ddpm_ep=206/3493_face0.jpg,Middle Eastern,Asian,Female,40-49,"[0.18094577 0.00416622 0.06554466 0.2654585  0.1907947  0.0047991
 0.28829107]",[0.0687956  0.01155307 0.91753685 0.00211449],[0.33862603 0.661374  ],"[6.0650829e-05 1.3427263e-03 1.6586784e-02 9.3547553e-02 3.4714147e-01
 4.2163083e-01 1.0336873e-01 1.4585348e-02 1.7358263e-03]"
detected_faces_fairface_bal_gen_ddpm_ep=206/2385_face0.jpg,East Asian,Asian,Female,20-29,"[6.8299463e-03 3.0746847e-05 1.1294063e-02 7.9982167e-01 1.8040878e-01
 3.8456093e-04 1.2302167e-03]",[4.5400765e-03 6.7396939e-04 9.9422675e-01 5.5926095e-04],[0.16036823 0.8396318 ],"[3.57989791e-07 9.94916991e-05 4.92650494e-02 6.68151438e-01
 2.69184619e-01 1.29631478e-02 3.21051368e-04 1.46676175e-05
 2.18542993e-07]"
detected_faces_fairface_bal_gen_ddpm_ep=206/2637_face0.jpg,White,White,Female,30-39,"[0.41395804 0.00800008 0.11171614 0.0250358  0.0138597  0.03209679
 0.39533347]",[0.91052926 0.02181442 0.05758074 0.01007564],[0.49025884 0.5097412 ],"[0.00133691 0.04162132 0.05524973 0.23530705 0.33483312 0.21707617
 0.09686525 0.01519428 0.00251625]"
detected_faces_fairface_bal_gen_ddpm_ep=206/280_face0.jpg,Latino_Hispanic,Asian,Female,20-29,"[0.14413023 0.00255801 0.40218583 0.09251006 0.27729553 0.0454448
 0.03587548]",[0.10477735 0.02236816 0.71855026 0.15430427],[0.00277889 0.9972211 ],"[2.4254230e-06 9.0456773e-03 4.5210528e-01 5.2162951e-01 1.6846303e-02
 3.6784247e-04 2.7296887e-06 2.2176789e-07 1.8360454e-08]"
detected_faces_fairface_bal_gen_ddpm_ep=206/282_face0.jpg,Black,Black,Female,30-39,"[7.2014532e-06 9.8816335e-01 1.0130638e-03 7.0344344e-05 1.2584223e-03
 9.4721327e-03 1.5426447e-05]",[3.7306258e-05 9.3454289e-01 5.8607658e-04 6.4833686e-02],[0.32666686 0.67333317],"[7.5081703e-06 4.8832229e-04 1.0683928e-02 2.0373623e-01 5.1956940e-01
 2.3043165e-01 3.4482036e-02 5.7579979e-04 2.5112875e-05]"
detected_faces_fairface_bal_gen_ddpm_ep=206/2415_face0.jpg,Latino_Hispanic,Indian,Male,10-19,"[0.08592467 0.11666641 0.5361003  0.00101313 0.00817888 0.20980828
 0.04230827]",[0.02301052 0.04155611 0.01251894 0.92291445],[0.9137395  0.08626048],"[2.9741551e-04 4.2771798e-01 5.3465432e-01 3.1983327e-02 4.9123433e-03
 4.2124317e-04 1.1699426e-05 1.5075799e-06 2.1478064e-07]"
detected_faces_fairface_bal_gen_ddpm_ep=206/686_face0.jpg,White,White,Female,20-29,"[9.9880558e-01 2.2634567e-06 1.4749292e-04 4.5534759e-04 2.4042437e-04
 1.1637601e-05 3.3722247e-04]",[9.8899359e-01 3.6576312e-05 1.0823511e-02 1.4634361e-04],[0.00514212 0.9948579 ],"[4.7331373e-04 5.1893368e-03 2.9252512e-02 5.5652964e-01 3.6284912e-01
 4.3307871e-02 2.2734525e-03 1.1476488e-04 9.9627468e-06]"
detected_faces_fairface_bal_gen_ddpm_ep=206/684_face0.jpg,Middle Eastern,White,Male,50-59,"[4.1497716e-01 1.4080094e-03 2.7569126e-02 9.1147747e-05 3.9332028e-04
 5.7873335e-03 5.4977387e-01]",[9.9564248e-01 7.8265805e-04 1.6830103e-04 3.4065738e-03],[0.5452562  0.45474374],"[1.7594395e-05 1.3074957e-05 1.3886367e-04 9.7289140e-04 2.2458259e-02
 3.1254515e-01 4.7391593e-01 1.7116010e-01 1.8778091e-02]"
detected_faces_fairface_bal_gen_ddpm_ep=206/3715_face0.jpg,Indian,Indian,Female,30-39,"[2.7729839e-01 1.5670821e-04 6.7456085e-03 7.2708435e-04 1.6025263e-03
 7.0887470e-01 4.5950124e-03]",[3.8894597e-02 1.3817198e-04 2.6527882e-04 9.6070194e-01],[0.00480943 0.99519056],"[1.1718288e-05 4.4760067e-04 1.3994725e-02 2.7916950e-01 4.9323368e-01
 1.9687988e-01 1.5404054e-02 8.2316401e-04 3.5658879e-05]"
detected_faces_fairface_bal_gen_ddpm_ep=206/857_face0.jpg,Latino_Hispanic,Indian,Male,30-39,"[0.19660291 0.01826402 0.5465485  0.00956147 0.05646887 0.11533531
 0.05721897]",[0.07311475 0.24213748 0.06986549 0.6148823 ],[0.6966143  0.30338565],"[1.0786231e-05 4.4590633e-04 3.8793735e-02 3.2951269e-01 4.7070897e-01
 1.4576815e-01 1.4087260e-02 6.3983997e-04 3.2641754e-05]"
detected_faces_fairface_bal_gen_ddpm_ep=206/716_face0.jpg,East Asian,Asian,Male,10-19,"[0.31153265 0.00936795 0.08133336 0.34545174 0.24737895 0.0012112
 0.00372413]",[4.8793381e-01 6.5291603e-03 5.0530636e-01 2.3063312e-04],[0.72619796 0.27380198],"[6.2676717e-04 9.6594937e-02 6.1855477e-01 2.1365751e-01 5.9569973e-02
 9.8529244e-03 8.8184315e-04 2.2250861e-04 3.8836675e-05]"
