face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/1398_ema_face0.jpg,Black,Black,Female,30-39,"[3.7675034e-03 9.6857899e-01 2.1726424e-02 5.6496705e-05 3.3164097e-04
 2.7769785e-03 2.7618962e-03]",[1.8383408e-04 9.9909264e-01 2.3173404e-04 4.9177359e-04],[0.00300114 0.99699885],"[4.0448755e-05 6.9980457e-04 8.8065937e-03 8.1743866e-02 4.2283088e-01
 3.3610517e-01 1.3671142e-01 1.2812037e-02 2.4973537e-04]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/577_ema_face0.jpg,White,White,Female,30-39,"[9.1985798e-01 9.8823861e-05 8.5421680e-03 8.3244005e-03 6.5376675e-03
 1.1045842e-03 5.5534266e-02]",[9.143385e-01 5.438633e-04 5.275985e-02 3.235776e-02],[0.08670764 0.91329235],"[0.00380241 0.13941579 0.16511646 0.22414432 0.27040353 0.16255957
 0.03134045 0.00290186 0.00031563]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/2294_ema_face0.jpg,White,Asian,Female,30-39,"[0.3315266  0.07749303 0.30613628 0.04471764 0.09341013 0.11553986
 0.03117646]",[0.02844364 0.05807279 0.85044384 0.06303976],[0.09004393 0.90995604],"[5.5389733e-05 1.4481869e-03 5.3569436e-02 3.5760972e-01 4.0774107e-01
 1.5330616e-01 2.3812572e-02 2.3003023e-03 1.5724618e-04]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/337_ema_face0.jpg,White,White,Female,30-39,"[0.90690607 0.03104032 0.02005807 0.0009135  0.00416294 0.01978713
 0.01713208]",[0.94880605 0.02033648 0.00492104 0.02593634],[0.3423106 0.6576894],"[4.9229824e-05 4.1235550e-04 7.0578568e-03 1.4553754e-01 3.8309631e-01
 2.6834440e-01 1.5559559e-01 3.3230282e-02 6.6764066e-03]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/541_ema_face0.jpg,White,White,Female,3-9,"[0.40793866 0.00324105 0.24312481 0.00099134 0.00103328 0.01508519
 0.3285857 ]",[0.8497048  0.03453885 0.00263911 0.11311726],[0.44970807 0.55029196],"[1.6682157e-03 6.4620066e-01 3.4706169e-01 2.6374445e-03 1.4626482e-03
 7.0882397e-04 1.7609153e-04 6.7022302e-05 1.7463382e-05]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/2088_ema_face0.jpg,White,White,Male,40-49,"[9.9334389e-01 1.2185042e-05 5.7990692e-04 4.3570180e-06 7.1076611e-06
 4.4493485e-05 6.0080248e-03]",[9.95965362e-01 1.14405215e-04 1.26251671e-03 2.65771616e-03],[0.9980129  0.00198714],"[5.1336278e-06 3.2051614e-06 6.9459769e-05 4.6610455e-03 9.3124352e-02
 4.5115238e-01 4.0616438e-01 4.2087026e-02 2.7329295e-03]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/2304_ema_face0.jpg,Middle Eastern,White,Female,10-19,"[1.75229743e-01 7.94291273e-02 1.72884375e-01 1.10693625e-04
 6.39304402e-04 1.34972900e-01 4.36733782e-01]",[0.4814483  0.20484415 0.00126244 0.3124451 ],[0.26317784 0.7368221 ],"[1.5684403e-04 4.7014624e-02 3.9003000e-01 3.4836426e-01 1.6604981e-01
 4.3577779e-02 3.8023051e-03 8.2099321e-04 1.8336925e-04]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/793_ema_face0.jpg,Southeast Asian,Asian,Female,20-29,"[1.1825447e-02 4.8739584e-03 9.8413415e-03 6.6795468e-02 8.9745182e-01
 7.7124877e-04 8.4407320e-03]",[8.4380113e-02 4.7692422e-02 8.6729777e-01 6.2974583e-04],[0.03659803 0.963402  ],"[1.1015000e-03 1.7375320e-02 9.0808466e-02 4.2030153e-01 3.6734912e-01
 9.4197288e-02 7.5487518e-03 1.1084316e-03 2.0961315e-04]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/676_ema_face0.jpg,Middle Eastern,White,Male,30-39,"[2.9210934e-02 1.0319267e-03 5.7184223e-02 6.6184584e-06 6.0042246e-05
 1.1991487e-01 7.9259139e-01]",[8.8824272e-01 6.7950494e-04 1.6825041e-05 1.1106094e-01],[9.9992853e-01 7.1420582e-05],"[1.0358641e-06 6.5760287e-06 4.7469776e-04 1.3673368e-01 7.2141600e-01
 1.3826023e-01 3.0513911e-03 5.5059179e-05 1.3264857e-06]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/680_ema_face0.jpg,White,White,Male,20-29,"[8.5061479e-01 2.9813583e-04 1.7658832e-02 6.9671124e-04 8.5320335e-04
 6.5043190e-04 1.2922789e-01]",[9.9648839e-01 2.1785000e-04 2.8669268e-03 4.2690971e-04],[0.99754244 0.00245755],"[1.8755305e-06 7.7641744e-05 4.3158587e-03 5.2089012e-01 4.5734602e-01
 1.7271338e-02 9.4942807e-05 2.0886011e-06 1.3746997e-07]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/247_ema_face0.jpg,Middle Eastern,Asian,Male,30-39,"[0.20120324 0.00152986 0.274156   0.00564146 0.03206431 0.04309592
 0.44230914]",[0.3560612  0.02282982 0.54737914 0.07372987],[0.5420489  0.45795113],"[3.24068242e-06 1.07880478e-04 1.69295613e-02 2.01681912e-01
 5.40522695e-01 2.31814235e-01 8.66800081e-03 2.62225716e-04
 1.02325685e-05]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/2231_ema_face0.jpg,Black,Black,Female,20-29,"[0.00473565 0.9150503  0.05525801 0.00166658 0.01224945 0.01010227
 0.00093765]",[3.4572813e-03 9.9556750e-01 5.4294232e-04 4.3228644e-04],[0.01411672 0.9858833 ],"[1.0885469e-05 8.6769485e-04 5.2149501e-02 6.3841909e-01 2.6830235e-01
 3.8917776e-02 1.2850318e-03 4.6241581e-05 1.4956946e-06]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/1430_ema_face0.jpg,Southeast Asian,Black,Male,30-39,"[0.22593883 0.04118135 0.18182804 0.09803236 0.32689297 0.01157053
 0.11455593]",[0.26049477 0.42340147 0.22765477 0.08844897],[0.9832595 0.0167405],"[9.4981464e-05 3.7714089e-03 1.9576397e-02 1.1693871e-01 3.9110118e-01
 3.6417258e-01 9.9345826e-02 4.3966314e-03 6.0218835e-04]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/421_ema_face0.jpg,East Asian,Asian,Female,3-9,"[0.06939845 0.00772147 0.01134029 0.46362507 0.44449803 0.00139608
 0.00202065]",[0.08532861 0.03621506 0.8646632  0.01379314],[0.46285403 0.537146  ],"[2.0163953e-01 7.8797197e-01 7.8756642e-03 1.0973759e-03 8.6346979e-04
 3.5669634e-04 1.2924524e-04 3.7198712e-05 2.8897412e-05]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/488_ema_face0.jpg,Indian,Indian,Female,20-29,"[0.01094194 0.07442624 0.13392612 0.00608819 0.00950772 0.7438054
 0.02130451]",[0.06710548 0.2013872  0.02091673 0.7105906 ],[0.02578031 0.9742197 ],"[8.5468519e-06 1.1014433e-02 2.8589112e-01 6.7049581e-01 3.1926148e-02
 6.5409910e-04 9.0958029e-06 6.4706893e-07 5.1891973e-08]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/49_ema_face0.jpg,White,White,Female,30-39,"[7.9232591e-01 6.2029687e-04 7.5869575e-02 3.3304612e-03 1.1560222e-03
 1.3054394e-03 1.2539236e-01]",[9.9245071e-01 2.8934135e-04 5.6841802e-03 1.5758368e-03],[8.142168e-05 9.999186e-01],"[1.9952994e-07 5.7113189e-06 1.5282833e-03 1.5554395e-01 6.6059726e-01
 1.7262197e-01 9.4882455e-03 2.1330168e-04 1.0885830e-06]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/2134_ema_face0.jpg,White,White,Female,50-59,"[0.5253341  0.0007561  0.00794067 0.31283692 0.13473913 0.00443878
 0.01395434]",[0.9494492  0.0009754  0.04583376 0.00374168],[0.13232894 0.8676711 ],"[7.1929891e-05 2.0823919e-04 8.2658231e-04 2.4717951e-02 8.2802236e-02
 3.0043188e-01 3.3869320e-01 2.0466197e-01 4.7585990e-02]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/1647_ema_face0.jpg,Middle Eastern,White,Female,30-39,"[4.3991417e-01 7.5881020e-05 9.8901568e-03 1.8451919e-04 2.1539185e-04
 6.3062710e-04 5.4908937e-01]",[0.9907832  0.00104568 0.00206196 0.0061091 ],[2.4117174e-04 9.9975878e-01],"[3.9155657e-07 8.5007186e-06 8.7425596e-04 9.6349813e-02 4.2486781e-01
 3.8700715e-01 8.7665819e-02 3.1803863e-03 4.5920013e-05]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/1822_ema_face0.jpg,Latino_Hispanic,Black,Female,20-29,"[0.06023749 0.16613214 0.6140398  0.04703939 0.07089949 0.02203985
 0.01961192]",[0.03296582 0.95325065 0.00466601 0.00911751],[1.9503647e-04 9.9980491e-01],"[6.3765370e-08 6.7461660e-05 4.8206277e-02 8.4542423e-01 1.0522404e-01
 1.0663451e-03 1.1286714e-05 2.7425500e-07 6.3929613e-09]"
detected_faces_fairface_bal_gen_ddpm_ep=206_ema/2057_ema_face0.jpg,East Asian,Asian,Female,20-29,"[4.1363880e-02 1.1446986e-03 5.3492654e-03 8.7239945e-01 7.8965753e-02
 1.5015021e-04 6.2682189e-04]",[8.24400969e-03 8.06895609e-04 9.90938246e-01 1.08449185e-05],[0.03782994 0.96217006],"[0.02913951 0.27269366 0.11557284 0.3790716  0.1467331  0.04430134
 0.00959848 0.00224246 0.00064713]"
